2008 4 7 11 6 33.040 -26.951786 -67.130245 5.289 0.034	94.473 99.341 731.025
2008 4 8 7 26 0.370 -26.964050 -67.430778 8.738 0.044	213.058 167.207 437.445
2008 4 8 13 24 21.920 -26.950537 -67.129171 5.651 0.041	82.331 110.865 485.49
2008 4 8 19 36 28.480 -26.383407 -67.056807 0.953 0.043	211.105 348.536 1350.743
2008 4 10 20 5 44.280 -26.889803 -67.010881 2.68 0.039	117.091 137.728 848.67
2008 4 11 8 58 31.100 -26.890002 -67.011133 2.608 0.043	113.429 111.019 586.0
2008 4 11 12 47 3.250 -26.778062 -67.602389 3.924 0.044	126.468 310.918 469.795
2008 4 14 17 13 35.960 -26.068534 -66.659208 0.256 0.041	51.344 59.751 771.585
2008 4 15 9 6 55.040 -26.662085 -67.620219 2.622 0.036	44.244 35.996 89.54
2008 4 16 10 32 20.690 -26.740013 -67.047754 3.764 0.032	160.471 147.342 271.33
2008 4 16 21 19 7.320 -26.662423 -67.620911 2.6 0.036	42.456 39.988 141.545
2008 4 16 21 28 6.680 -26.663068 -67.621049 2.36 0.037	92.768 71.979 158.805
2008 4 16 21 28 49.600 -26.661865 -67.621334 2.595 0.035	52.992 52.591 118.805
2008 4 16 21 34 42.260 -26.661951 -67.620785 2.55 0.036	73.377 33.653 127.52
2008 4 16 21 37 33.960 -26.661837 -67.621232 2.548 0.039	102.401 27.156 86.17
2008 4 17 1 4 30.810 -26.662382 -67.620968 2.52 0.040	55.444 39.63 96.325
2008 4 17 1 7 48.460 -26.662764 -67.620276 2.468 0.034	70.641 87.523 137.78
2008 4 17 1 14 6.630 -26.661702 -67.621790 2.475 0.037	58.729 35.719 128.665
2008 4 17 1 29 58.870 -26.661615 -67.620870 1.729 0.043	88.16 80.263 448.67
2008 4 17 1 54 3.160 -26.662242 -67.619918 2.512 0.037	62.115 66.805 105.82
2008 4 17 11 26 9.790 -26.740466 -67.051493 3.926 0.039	65.481 70.643 152.35
2008 4 17 14 36 42.110 -26.661926 -67.621436 2.628 0.040	47.689 53.214 102.875
2008 4 17 14 46 35.580 -26.663544 -67.622009 2.354 0.040	79.666 63.645 154.59
2008 4 17 15 53 56.790 -26.661886 -67.619165 2.629 0.034	85.557 40.282 101.01
2008 4 17 19 31 20.700 -25.984591 -66.846521 1.727 0.046	187.042 255.716 1095.268
2008 4 17 19 45 47.280 -26.662193 -67.619071 2.519 0.034	77.769 69.811 175.065
2008 4 17 19 46 26.560 -26.513509 -67.039128 2.317 0.040	145.962 166.727 773.701
2008 4 18 5 51 7.680 -26.661271 -67.619539 2.474 0.037	37.61 36.26 165.745
2008 4 18 6 1 46.800 -26.664119 -67.618827 2.083 0.041	108.617 64.929 238.23
2008 4 18 6 3 13.960 -26.660866 -67.619548 2.31 0.038	99.858 52.125 226.845
2008 4 18 6 54 14.370 -26.687415 -67.212305 8.051 0.029	67.702 59.838 136.45
2008 4 18 9 55 8.040 -26.661068 -67.619364 2.612 0.039	38.462 59.93 136.13
2008 4 18 10 8 10.890 -26.662817 -67.619417 2.47 0.044	133.929 72.041 262.835
2008 4 18 10 55 0.480 -26.660905 -67.619450 2.692 0.037	50.555 52.265 128.01
2008 4 18 10 58 16.160 -26.661460 -67.620121 2.584 0.034	88.519 63.748 148.08
2008 4 18 11 18 33.010 -26.664852 -67.622005 2.505 0.039	70.052 57.395 129.1
2008 4 18 14 34 6.980 -26.664398 -67.618962 2.115 0.037	315.596 181.052 480.315
2008 4 18 19 4 26.480 -26.661485 -67.618880 2.787 0.037	54.017 31.695 117.2
2008 4 18 23 11 42.580 -26.661863 -67.618046 2.791 0.035	85.097 56.57 196.62
2008 4 19 2 9 48.420 -26.554521 -67.495036 4.439 0.045	205.019 138.131 438.725
2008 4 19 5 39 25.080 -26.663365 -67.620854 2.611 0.039	44.934 79.1 130.49
2008 4 19 6 30 27.520 -26.662246 -67.621867 2.762 0.040	56.938 50.841 82.42
2008 4 19 8 18 42.550 -27.062099 -66.982959 1.136 0.042	150.912 331.343 773.25
2008 4 19 9 3 52.410 -25.841691 -66.983435 6.353 0.046	206.887 192.812 487.65
2008 4 19 9 34 32.960 -25.842055 -66.982536 5.747 0.043	131.751 168.017 757.45
2008 4 19 13 2 9.370 -26.660706 -67.618783 2.595 0.036	70.729 67.129 148.81
2008 4 19 13 7 45.670 -26.661615 -67.621236 2.686 0.034	50.206 52.058 102.625
2008 4 19 13 8 26.740 -26.660173 -67.621521 3.122 0.040	312.394 54.4 237.54
2008 4 19 13 22 55.450 -26.661879 -67.620528 2.671 0.035	71.306 34.416 98.175
2008 4 19 13 31 3.160 -26.661831 -67.620011 2.554 0.037	89.529 35.144 119.79
2008 4 19 16 1 28.060 -26.601385 -67.680884 1.19 0.045	245.238 44.099 1382.3
2008 4 19 19 53 15.480 -26.663190 -67.621639 2.796 0.040	76.158 33.925 75.745
2008 4 20 4 19 32.890 -26.662295 -67.622526 2.514 0.039	77.489 41.887 90.57
2008 4 20 5 0 29.690 -26.660166 -67.620028 2.388 0.040	85.889 76.037 215.875
2008 4 21 20 44 14.280 -25.950702 -66.791817 0.333 0.042	67.428 98.171 404.585
2008 4 22 20 48 17.800 -26.050580 -66.897900 -1.627 0.049	164.431 251.949 2400.052
2008 4 22 23 52 19.480 -26.637054 -67.583875 5.758 0.038	113.161 95.256 102.955
2008 4 23 3 25 4.680 -26.406753 -66.914506 9.138 0.037	83.595 72.196 683.96
2008 4 24 1 12 45.720 -25.837297 -67.321338 5.881 0.022	71.792 110.507 103.935
2008 4 24 1 48 33.400 -25.837109 -67.322323 5.804 0.035	39.734 54.525 90.32
2008 4 24 5 50 45.880 -26.540440 -67.613599 9.38 0.047	72.987 64.965 250.605
2008 4 24 6 49 24.720 -26.662132 -67.619714 2.707 0.034	84.245 77.068 120.745
2008 4 24 7 8 29.940 -26.664388 -67.618294 2.819 0.037	66.572 73.115 217.525
2008 4 24 8 26 33.110 -26.525191 -67.231889 0.008 0.037	81.461 121.028 719.811
2008 4 24 18 39 25.600 -26.635069 -67.584587 5.506 0.041	103.593 95.94 161.7
2008 4 27 2 31 58.260 -26.448702 -67.188989 8.469 0.031	157.516 214.818 736.615
2008 4 28 4 36 31.150 -26.585291 -67.668005 3.744 0.044	110.557 134.706 386.79
2008 4 29 2 9 28.720 -26.490181 -67.601660 6.625 0.041	100.795 115.146 274.585
2008 4 29 4 47 53.760 -27.045469 -67.279016 9.49 0.051	157.97 113.466 577.41
2008 4 30 7 46 37.140 -26.407086 -66.914417 8.859 0.031	81.539 82.502 601.04
2008 5 1 15 20 1.470 -26.068819 -66.659599 0.187 0.041	45.242 34.038 188.79
2008 5 1 15 22 6.860 -26.069883 -66.657458 -0.717 0.042	32.654 51.821 274.98
2008 5 2 6 32 29.090 -26.069029 -66.658244 1.721 0.038	156.4 176.712 794.275
2008 5 2 8 11 23.990 -26.636090 -67.583700 5.721 0.037	71.447 76.427 121.73
2008 5 2 10 38 44.060 -25.837482 -67.322937 5.714 0.023	56.4 94.882 102.915
2008 5 2 12 11 5.440 -25.836774 -67.323027 5.75 0.021	72.782 107.683 136.55
2008 5 3 23 48 2.600 -26.439823 -67.306372 4.639 0.042	53.707 133.569 209.115
2008 5 5 23 3 35.320 -26.523594 -67.568355 8.461 0.040	150.286 55.8 162.1
2008 5 6 4 25 9.540 -26.662744 -67.618408 2.321 0.044	277.327 160.136 315.005
2008 5 6 17 5 18.000 -26.662874 -67.596851 5.539 0.036	81.811 85.152 121.67
2008 5 6 21 22 25.660 -26.663652 -67.596578 5.42 0.037	105.539 79.858 164.57
2008 5 7 3 49 53.500 -26.660964 -67.596488 5.134 0.038	270.388 69.331 183.545
2008 5 7 5 57 28.240 -26.662718 -67.595036 5.163 0.038	124.875 68.189 129.96
2008 5 8 0 38 31.980 -26.662459 -67.596908 5.202 0.038	95.515 97.019 155.2
2008 5 8 3 14 3.080 -26.668125 -67.592025 5.457 0.039	124.826 149.73 119.305
2008 5 8 17 17 10.480 -26.066484 -66.661471 -0.517 0.038	45.638 61.467 495.065
2008 5 10 6 4 35.630 -26.071210 -66.660250 0.151 0.040	47.427 91.416 557.1
2008 5 12 13 0 20.850 -26.576544 -67.631812 3.351 0.043	124.873 64.225 302.025
2008 5 12 21 9 14.000 -26.653752 -67.611947 3.707 0.041	82.797 75.411 170.78
2008 5 13 6 53 15.560 -26.925181 -67.344759 11.209 0.042	67.826 58.89 284.74
2008 5 13 11 36 41.390 -26.925857 -67.346090 9.585 0.042	157.235 41.547 266.8
2008 5 13 12 8 18.030 -26.925444 -67.344893 10.594 0.045	89.538 68.504 305.935
2008 5 14 1 26 51.630 -26.440035 -67.408634 2.092 0.051	85.912 129.864 349.835
2008 5 14 3 1 56.720 -26.912203 -67.364632 11.138 0.018	421.094 272.96 2960.585
2008 5 14 14 51 29.150 -26.667167 -67.628271 2.661 0.046	79.294 59.75 549.715
2008 5 15 0 52 47.050 -25.837168 -67.323291 5.743 0.021	60.576 115.228 119.765
2008 5 15 22 53 50.680 -26.636023 -67.584037 5.821 0.040	201.479 70.733 128.675
2008 5 16 7 34 24.370 -25.805406 -66.985657 1.668 0.042	47.396 115.755 256.835
2008 5 16 23 1 25.040 -26.663507 -67.596749 5.548 0.037	129.619 95.912 142.72
2008 5 17 3 18 25.120 -26.007033 -66.769332 1.761 0.046	114.585 171.413 482.57
2008 5 17 13 25 56.340 -26.606791 -67.680888 0.892 0.039	79.564 64.492 367.84
2008 5 17 15 43 9.430 -26.606604 -67.680924 1.204 0.040	65.58 67.717 261.7
2008 5 20 3 56 14.500 -26.068219 -66.660815 0.13 0.040	29.464 42.564 185.555
2008 5 20 4 31 57.030 -26.067918 -66.660413 0.26 0.041	36.106 40.318 219.205
2008 5 20 4 37 20.990 -26.070221 -66.658223 0.995 0.038	59.757 83.677 301.15
2008 5 21 17 21 8.020 -26.913432 -67.342981 10.811 0.039	53.228 131.579 223.025
2008 5 22 8 13 1.390 -26.670520 -67.620557 2.237 0.043	89.994 38.248 133.61
2008 5 23 1 48 1.710 -26.909469 -67.364929 9.458 0.042	54.351 37.608 218.705
2008 5 23 6 22 22.310 -26.691050 -67.609269 4.202 0.035	71.092 61.714 147.165
2008 5 25 9 29 58.570 -25.692306 -67.037321 7.336 0.039	69.488 91.277 296.155
2008 5 26 6 32 28.330 -26.495728 -66.568840 12.22 0.034	282.26 157.007 753.798
2008 5 27 13 47 15.570 -26.067603 -66.661446 0.361 0.041	33.284 36.39 249.74
2008 5 28 22 17 39.160 -26.636863 -67.583785 5.829 0.038	64.032 58.687 148.975
2008 5 29 13 53 30.840 -26.923779 -67.346615 8.756 0.041	80.523 68.285 299.095
2008 5 29 18 18 41.360 -26.067767 -66.660661 0.008 0.039	56.063 60.355 392.61
2008 5 29 18 19 48.440 -26.069427 -66.658358 -0.428 0.040	43.501 37.488 267.755
2008 5 30 1 59 42.580 -25.944820 -67.056270 4.119 0.041	140.633 127.482 768.497
2008 5 30 4 45 16.940 -26.883120 -67.000614 5.844 0.044	103.545 96.342 432.295
2008 6 1 13 48 5.610 -26.687185 -67.210596 7.574 0.030	85.631 62.604 167.46
2008 6 1 20 53 59.200 -26.628534 -67.517106 0.857 0.045	189.808 206.54 373.875
2008 6 3 1 4 52.840 -27.014339 -67.136003 10.936 0.042	66.434 49.709 298.395
