	 1 	 38   10.63
	 2 	 40   35.99
	 1 	 40   21.61
-66.1816 	 -26.8389 	 18.63 	 26
	 2 	 42   18.23
	 2 	 38   24.95
	 1 	 38   15.09
	 2 	 10   17.74
	 1 	 10   10.64
	 2 	 12   7.16
	 1 	 12   4.33
	 2 	 8   24.58
	 1 	 8   14.83
	 2 	 9   19.69
	 1 	 9   11.90
	 2 	 48   30.43
	 2 	 60   37.03
	 2 	 21   35.75
	 2 	 20   38.65
	 1 	 25   28.04
	 2 	 74   39.42
	 2 	 16   15.89
	 1 	 15   8.04
	 2 	 15   13.33
	 1 	 14   4.86
	 2 	 14   8.10
	 1 	 13   3.92
	 2 	 13   6.44
	 1 	 41   15.19
	 2 	 41   26.03
-65.733 	 -27.172 	 16.73 	 41
	 1 	 41   9.66
	 2 	 41   16.18
	 1 	 40   17.74
	 2 	 40   29.92
	 2 	 73   58.88
	 2 	 42   20.08
	 1 	 42   12.10
	 2 	 39   42.62
